image_path,label,xmin,ymin,xmax,ymax
10.jp2,candida,1476,197,1490,215
10.jp2,candida,3988,184,4004,204
10.jp2,candida,3160,125,3186,177
10.jp2,candida,3090,114,3103,129
10.jp2,candida,3305,112,3315,127
10.jp2,candida,3290,106,3304,139
10.jp2,candida,1635,99,1643,111
10.jp2,candida,540,92,600,154
10.jp2,candida,2815,71,2824,83
10.jp2,candida,1595,69,1611,93
10.jp2,candida,3296,11,3373,104
10.jp2,candida,346,0,360,19
10.jp2,candida,223,0,340,70
11.jp2,candida,3369,3254,3392,3264
11.jp2,candida,3485,3247,3505,3264
11.jp2,candida,3410,3234,3443,3264
11.jp2,candida,2374,3216,2382,3227
11.jp2,candida,3721,3214,3756,3235
11.jp2,candida,3492,3207,3515,3236
11.jp2,candida,3160,3202,3185,3224
11.jp2,candida,3410,3188,3421,3200
11.jp2,candida,3666,3177,3691,3199
11.jp2,candida,458,3158,467,3167
11.jp2,candida,3664,3134,3687,3149
11.jp2,candida,3722,3123,3736,3139
11.jp2,candida,2248,3113,2267,3135
11.jp2,candida,3694,3094,3709,3103
11.jp2,candida,3082,3082,3115,3103
11.jp2,candida,4294,3033,4450,3099
11.jp2,candida,4488,3027,4536,3080
11.jp2,candida,3121,3018,3155,3041
11.jp2,candida,3755,2997,4258,3264
11.jp2,candida,3070,2993,3092,3019
11.jp2,candida,2979,2980,3055,3029
11.jp2,candida,2895,2941,2913,2959
11.jp2,candida,2849,2938,2859,2951
11.jp2,candida,3535,2929,3604,2992
11.jp2,candida,4134,2920,4181,2964
11.jp2,candida,3655,2912,3791,2980
11.jp2,candida,4287,2906,4375,3001
11.jp2,candida,2944,2900,2957,2912
11.jp2,candida,2964,2886,2979,2901
11.jp2,candida,3982,2879,4104,2947
11.jp2,candida,2972,2864,3025,2894
11.jp2,candida,3854,2799,3866,2813
11.jp2,candida,3812,2795,3873,2854
11.jp2,candida,2575,2790,2583,2805
11.jp2,candida,3733,2745,3766,2771
11.jp2,candida,0,2694,507,3264
11.jp2,candida,2846,2660,2904,2714
11.jp2,candida,2009,2578,2034,2596
11.jp2,candida,2739,2547,2765,2560
11.jp2,candida,69,2541,87,2561
11.jp2,candida,692,2536,720,2568
11.jp2,candida,3515,2512,3551,2546
11.jp2,candida,3478,2499,3507,2523
11.jp2,candida,133,2465,146,2477
11.jp2,candida,1373,2453,1420,2516
11.jp2,candida,438,2446,450,2460
11.jp2,candida,408,2445,427,2461
11.jp2,candida,299,2423,360,2467
11.jp2,candida,2754,2422,2767,2437
11.jp2,candida,2413,2405,2433,2427
11.jp2,candida,2424,2404,2443,2416
11.jp2,candida,255,2402,268,2417
11.jp2,candida,1741,2400,1756,2411
11.jp2,candida,1488,2390,1604,2432
11.jp2,candida,2776,2379,2793,2412
11.jp2,candida,965,2350,978,2362
11.jp2,candida,428,2333,454,2353
11.jp2,candida,1637,2319,1662,2358
11.jp2,candida,268,2318,435,2422
11.jp2,candida,1403,2313,1475,2381
11.jp2,candida,1357,2283,1401,2309
11.jp2,candida,1607,2282,1627,2331
11.jp2,candida,2998,2254,3110,2351
11.jp2,candida,0,2250,273,2618
11.jp2,candida,0,2244,73,2303
11.jp2,candida,1864,2237,1890,2267
11.jp2,candida,1893,2235,1922,2266
11.jp2,candida,674,2214,760,2262
11.jp2,candida,21,2211,51,2237
11.jp2,candida,0,2207,13,2219
11.jp2,candida,2233,2176,2275,2217
11.jp2,candida,310,2170,472,2311
11.jp2,candida,2567,2167,2678,2293
11.jp2,candida,2530,2159,2566,2203
11.jp2,candida,319,2157,329,2168
11.jp2,candida,2145,2155,2173,2165
11.jp2,candida,2224,2151,2274,2183
11.jp2,candida,2458,2147,2478,2174
11.jp2,candida,2517,2144,2535,2161
11.jp2,candida,2502,2143,2513,2154
11.jp2,candida,1836,2140,3392,3264
11.jp2,candida,1745,2135,1765,2165
11.jp2,candida,2242,2127,2252,2140
11.jp2,candida,2986,2100,3137,2240
11.jp2,candida,2052,2089,2071,2138
11.jp2,candida,2524,2070,2543,2084
11.jp2,candida,1907,2022,1926,2043
11.jp2,candida,1742,2020,1749,2031
11.jp2,candida,1753,2011,1770,2023
11.jp2,candida,2063,1991,2082,2006
11.jp2,candida,1780,1989,1806,2017
11.jp2,candida,2489,1986,2532,2013
11.jp2,candida,139,1981,168,1999
11.jp2,candida,35,1980,51,2003
11.jp2,candida,2025,1976,2057,2008
11.jp2,candida,2574,1970,2609,1985
11.jp2,candida,178,1970,190,1984
11.jp2,candida,1758,1958,1777,1993
11.jp2,candida,195,1930,241,1968
11.jp2,candida,106,1904,133,1930
11.jp2,candida,459,1902,471,1916
11.jp2,candida,0,1794,6,1812
11.jp2,candida,0,1758,166,2033
11.jp2,candida,2564,1686,2583,1710
11.jp2,candida,431,1683,456,1695
11.jp2,candida,497,1661,601,1774
11.jp2,candida,41,1656,108,1719
11.jp2,candida,384,1645,400,1658
11.jp2,candida,2608,1639,2625,1651
11.jp2,candida,2546,1625,2614,1673
11.jp2,candida,1997,1617,2557,2147
11.jp2,candida,103,1613,161,1674
11.jp2,candida,2570,1598,2599,1623
11.jp2,candida,2328,1541,2343,1563
11.jp2,candida,2657,1531,2672,1547
11.jp2,candida,1975,1531,2045,1559
11.jp2,candida,0,1504,11,1528
11.jp2,candida,525,1497,542,1515
11.jp2,candida,561,1486,575,1503
11.jp2,candida,2160,1467,2194,1494
11.jp2,candida,517,1462,558,1482
11.jp2,candida,0,1454,19,1498
11.jp2,candida,696,1431,713,1450
11.jp2,candida,724,1416,741,1434
11.jp2,candida,798,1406,810,1421
11.jp2,candida,772,1390,783,1399
11.jp2,candida,872,1388,946,1449
11.jp2,candida,754,1383,763,1393
11.jp2,candida,280,1380,290,1390
11.jp2,candida,275,1311,285,1319
11.jp2,candida,641,1306,653,1319
11.jp2,candida,288,1277,332,1323
11.jp2,candida,1827,1275,1917,1376
11.jp2,candida,310,1260,334,1284
11.jp2,candida,684,1258,715,1312
11.jp2,candida,1840,1242,1865,1257
11.jp2,candida,1527,1242,1567,1280
11.jp2,candida,346,1237,372,1265
11.jp2,candida,532,1233,592,1287
11.jp2,candida,309,1225,347,1254
11.jp2,candida,865,1196,897,1224
11.jp2,candida,698,1171,911,1376
11.jp2,candida,2018,1142,2027,1153
11.jp2,candida,1875,1098,2117,1307
11.jp2,candida,276,1047,292,1065
11.jp2,candida,0,925,289,1223
11.jp2,candida,43,843,64,862
11.jp2,candida,6,836,17,851
11.jp2,candida,333,799,423,886
11.jp2,candida,299,792,315,806
11.jp2,candida,314,781,341,803
11.jp2,candida,152,728,170,737
11.jp2,candida,315,722,350,765
11.jp2,candida,168,713,194,741
11.jp2,candida,2389,555,2404,575
11.jp2,candida,84,539,93,550
11.jp2,candida,2398,528,2409,544
11.jp2,candida,0,453,60,525
11.jp2,candida,113,222,123,232
12.jp2,candida,2952,3258,2976,3264
12.jp2,candida,3418,3251,3427,3263
12.jp2,candida,3379,3233,3408,3264
12.jp2,candida,3320,3230,3364,3264
12.jp2,candida,4014,3199,4097,3264
12.jp2,candida,4124,3129,4147,3157
12.jp2,candida,3503,3099,3551,3144
12.jp2,candida,3338,3074,3480,3186
12.jp2,candida,3971,2936,3982,2947
12.jp2,candida,3839,2884,3857,2904
12.jp2,candida,2896,2870,2913,2889
12.jp2,candida,2796,2668,2837,2703
12.jp2,candida,2706,2629,2715,2641
12.jp2,candida,4685,2613,4699,2624
12.jp2,candida,2615,2564,2628,2573
12.jp2,candida,1514,2562,1531,2575
12.jp2,candida,1513,2534,1531,2551
12.jp2,candida,1466,2523,1480,2550
12.jp2,candida,2587,2495,2600,2508
12.jp2,candida,1675,2444,1697,2483
12.jp2,candida,1483,2437,1497,2451
12.jp2,candida,2986,2434,3014,2461
12.jp2,candida,0,2432,23,2476
12.jp2,candida,3166,2429,3180,2456
12.jp2,candida,1509,2421,1576,2505
12.jp2,candida,3218,2418,3397,2587
12.jp2,candida,1574,2418,1599,2445
12.jp2,candida,3036,2410,3166,2498
12.jp2,candida,3341,2407,3352,2417
12.jp2,candida,2321,2397,2330,2410
12.jp2,candida,2279,2387,2325,2419
12.jp2,candida,1630,2378,1709,2464
12.jp2,candida,2390,2350,2471,2421
12.jp2,candida,1434,2330,1444,2340
12.jp2,candida,2076,2319,2278,2442
12.jp2,candida,2984,2302,3038,2361
12.jp2,candida,4207,2272,4219,2284
12.jp2,candida,657,2259,684,2279
12.jp2,candida,1534,2258,1548,2272
12.jp2,candida,412,2232,424,2243
12.jp2,candida,1550,2224,1637,2342
12.jp2,candida,767,2199,796,2217
12.jp2,candida,3220,2196,3235,2213
12.jp2,candida,1587,2181,1597,2193
12.jp2,candida,3045,2175,3255,2396
12.jp2,candida,1630,2172,1644,2182
12.jp2,candida,4061,2169,4123,2217
12.jp2,candida,3316,2134,3381,2197
12.jp2,candida,2117,2129,2169,2159
12.jp2,candida,3154,2114,3199,2178
12.jp2,candida,364,2100,377,2112
12.jp2,candida,1510,2030,1722,2115
12.jp2,candida,2437,2028,2446,2038
12.jp2,candida,3258,2026,3290,2059
12.jp2,candida,3821,2014,3857,2065
12.jp2,candida,3277,2014,3305,2037
12.jp2,candida,3217,2013,3227,2023
12.jp2,candida,2221,2011,2233,2022
12.jp2,candida,3888,1988,3921,2024
12.jp2,candida,1864,1858,1891,1877
12.jp2,candida,2196,1852,2233,1866
12.jp2,candida,3205,1844,3221,1850
12.jp2,candida,3165,1839,3235,1880
12.jp2,candida,1704,1837,1718,1847
12.jp2,candida,1616,1820,1639,1841
12.jp2,candida,2186,1808,2227,1864
12.jp2,candida,3301,1792,4075,1982
12.jp2,candida,1851,1789,1901,1837
12.jp2,candida,2079,1784,2095,1795
12.jp2,candida,1608,1763,1618,1774
12.jp2,candida,3420,1724,3437,1735
12.jp2,candida,3054,1710,3115,1763
12.jp2,candida,2122,1707,2135,1729
12.jp2,candida,1535,1694,1565,1746
12.jp2,candida,1603,1637,1700,1727
12.jp2,candida,1749,1508,1820,1566
12.jp2,candida,2509,1210,2587,1270
12.jp2,candida,2512,1201,2524,1228
12.jp2,candida,2473,1198,2505,1229
12.jp2,candida,2549,1155,2563,1169
12.jp2,candida,3134,999,3183,1043
12.jp2,candida,2098,892,2212,967
12.jp2,candida,1902,743,3440,2124
12.jp2,candida,1887,649,1897,658
12.jp2,candida,2874,639,2930,693
12.jp2,candida,1859,627,1890,692
12.jp2,candida,1889,622,1905,641
12.jp2,candida,2188,320,2242,349
12.jp2,candida,1346,152,1361,164
12.jp2,candida,1283,126,1303,157
12.jp2,candida,809,0,830,24
18.jp2,candida,613,3208,667,3247
18.jp2,candida,3926,3172,3943,3181
18.jp2,candida,108,3167,122,3183
18.jp2,candida,3853,3158,3882,3196
18.jp2,candida,128,3158,158,3186
18.jp2,candida,159,3154,168,3169
18.jp2,candida,187,3134,218,3169
18.jp2,candida,20,3130,43,3178
18.jp2,candida,872,3125,888,3138
18.jp2,candida,80,3112,89,3124
18.jp2,candida,206,3083,301,3136
18.jp2,candida,0,3048,6,3073
18.jp2,candida,22,3002,122,3129
18.jp2,candida,3428,2998,3450,3040
18.jp2,candida,72,2986,87,3009
18.jp2,candida,257,2972,283,2990
18.jp2,candida,583,2967,612,3008
18.jp2,candida,3434,2957,3534,3088
18.jp2,candida,59,2957,77,2986
18.jp2,candida,3452,2955,3480,3017
18.jp2,candida,21,2955,39,2977
18.jp2,candida,157,2949,186,2982
18.jp2,candida,199,2945,251,2981
18.jp2,candida,170,2930,185,2947
18.jp2,candida,82,2930,102,2953
18.jp2,candida,151,2893,169,2912
18.jp2,candida,622,2884,799,3137
18.jp2,candida,436,2865,461,2886
18.jp2,candida,777,2854,795,2878
18.jp2,candida,50,2840,95,2879
18.jp2,candida,210,2775,223,2786
18.jp2,candida,0,2769,6,2783
18.jp2,candida,236,2758,309,2830
18.jp2,candida,286,2695,317,2717
18.jp2,candida,54,2650,97,2697
18.jp2,candida,73,2404,88,2419
18.jp2,candida,2357,2197,2381,2227
18.jp2,candida,2580,2164,2593,2180
18.jp2,candida,2497,2158,2553,2205
18.jp2,candida,2619,2057,2651,2085
18.jp2,candida,0,1996,12,2049
18.jp2,candida,865,1945,987,2030
18.jp2,candida,2799,1933,2848,1984
18.jp2,candida,0,1918,19,1984
18.jp2,candida,2862,1845,3280,1947
18.jp2,candida,1117,1763,1134,1780
18.jp2,candida,2883,1616,3043,1718
18.jp2,candida,1397,1493,1412,1508
18.jp2,candida,1282,1469,1295,1480
18.jp2,candida,1290,1466,1327,1502
18.jp2,candida,1327,1456,1351,1489
18.jp2,candida,508,1247,517,1259
18.jp2,candida,1566,1174,1583,1191
18.jp2,candida,386,1155,399,1166
18.jp2,candida,404,1148,431,1189
18.jp2,candida,401,1143,412,1153
18.jp2,candida,779,1076,793,1094
18.jp2,candida,498,1045,510,1059
18.jp2,candida,334,1005,344,1027
18.jp2,candida,392,930,403,951
18.jp2,candida,386,867,559,993
18.jp2,candida,1482,834,1493,847
18.jp2,candida,355,793,385,831
18.jp2,candida,386,789,394,803
18.jp2,candida,2296,724,2369,791
18.jp2,candida,2773,715,2790,740
18.jp2,candida,2154,682,2168,699
18.jp2,candida,256,633,270,649
18.jp2,candida,0,580,35,650
18.jp2,candida,2508,576,2526,596
18.jp2,candida,2324,574,2427,700
18.jp2,candida,0,534,9,579
18.jp2,candida,2489,445,2525,491
18.jp2,candida,2614,424,2633,453
18.jp2,candida,2630,345,2697,399
18.jp2,candida,2913,294,2986,351
18.jp2,candida,694,218,715,235
18.jp2,candida,576,178,603,205
18.jp2,candida,1911,114,1925,126
18.jp2,candida,960,114,992,169
18.jp2,candida,2404,105,2417,118
18.jp2,candida,689,91,697,105
18.jp2,candida,790,60,842,122
18.jp2,candida,667,42,685,51
18.jp2,candida,2001,35,2023,62
18.jp2,candida,668,24,680,42
18.jp2,candida,686,22,722,94
18.jp2,candida,739,9,754,25
18.jp2,candida,1869,0,1910,12
18.jp2,candida,933,0,1000,41
18.jp2,candida,756,0,811,24
18.jp2,candida,0,0,2641,1438
2.jp2,candida,481,3226,495,3239
2.jp2,candida,4560,2501,4574,2517
2.jp2,candida,4740,2483,4797,2511
2.jp2,candida,3375,2314,3392,2338
2.jp2,candida,3370,2245,3418,2279
2.jp2,candida,4798,2233,4818,2270
2.jp2,candida,4414,2133,4792,2522
2.jp2,candida,1662,2110,1671,2120
2.jp2,candida,1657,2104,1699,2144
2.jp2,candida,1635,2085,1655,2145
2.jp2,candida,1665,2052,1692,2072
2.jp2,candida,1700,2047,1780,2102
2.jp2,candida,694,2029,730,2076
2.jp2,candida,1804,2017,1848,2046
2.jp2,candida,1699,2014,1745,2047
2.jp2,candida,285,2014,295,2024
2.jp2,candida,3736,2008,3779,2064
2.jp2,candida,1854,2000,1908,2023
2.jp2,candida,3670,1998,3684,2011
2.jp2,candida,1773,1996,1796,2007
2.jp2,candida,3744,1977,3761,2010
2.jp2,candida,3762,1968,3782,1998
2.jp2,candida,1957,1956,1999,1978
2.jp2,candida,1005,1946,1040,1983
2.jp2,candida,1484,1917,1500,1936
2.jp2,candida,1521,1913,1540,1928
2.jp2,candida,1503,1908,1513,1918
2.jp2,candida,1845,1907,2010,1980
2.jp2,candida,959,1907,982,1943
2.jp2,candida,3534,1866,3570,1890
2.jp2,candida,3539,1841,3549,1853
2.jp2,candida,2109,1836,2139,1852
2.jp2,candida,2151,1777,2264,1831
2.jp2,candida,4822,1748,4833,1758
2.jp2,candida,2267,1732,2350,1777
2.jp2,candida,3573,1730,3601,1761
2.jp2,candida,2389,1689,2442,1715
2.jp2,candida,3611,1685,3621,1694
2.jp2,candida,3608,1659,3622,1676
2.jp2,candida,3149,1652,3184,1657
2.jp2,candida,3341,1636,3355,1647
2.jp2,candida,3465,1626,3490,1639
2.jp2,candida,3404,1625,3453,1647
2.jp2,candida,3365,1621,3400,1642
2.jp2,candida,2562,1619,2593,1654
2.jp2,candida,3261,1610,3305,1622
2.jp2,candida,3641,1588,3660,1597
2.jp2,candida,4040,1576,4057,1592
2.jp2,candida,4061,1573,4071,1588
2.jp2,candida,4225,1567,4233,1577
2.jp2,candida,3921,1566,3977,1605
2.jp2,candida,4247,1558,4266,1572
2.jp2,candida,4136,1554,4147,1568
2.jp2,candida,3683,1554,3701,1568
2.jp2,candida,3767,1548,3786,1559
2.jp2,candida,3923,1539,3951,1555
2.jp2,candida,4096,1537,4135,1564
2.jp2,candida,4187,1533,4196,1546
2.jp2,candida,4130,1533,4141,1546
2.jp2,candida,4433,1529,4464,1547
2.jp2,candida,292,1529,311,1539
2.jp2,candida,3815,1513,3822,1524
2.jp2,candida,4441,1504,4464,1525
2.jp2,candida,2820,1481,2843,1503
2.jp2,candida,637,1477,651,1501
2.jp2,candida,3025,1443,3044,1456
2.jp2,candida,2979,1418,2990,1427
2.jp2,candida,4181,1407,4223,1445
2.jp2,candida,4267,1403,4285,1419
2.jp2,candida,2969,1396,2990,1410
2.jp2,candida,3018,1392,3028,1402
2.jp2,candida,3577,1382,3598,1397
2.jp2,candida,4243,1362,4266,1386
2.jp2,candida,4260,1331,4271,1340
2.jp2,candida,3630,1331,3657,1356
2.jp2,candida,4165,1320,4176,1336
2.jp2,candida,4238,1317,4253,1327
2.jp2,candida,4240,1283,4272,1297
2.jp2,candida,650,1271,661,1283
2.jp2,candida,4439,1263,4453,1272
2.jp2,candida,4043,1262,4050,1280
2.jp2,candida,4054,1240,4078,1255
2.jp2,candida,4085,1227,4126,1242
2.jp2,candida,2757,1118,2768,1137
2.jp2,candida,3404,1048,3417,1057
2.jp2,candida,1082,1015,1095,1024
2.jp2,candida,3486,970,3524,1000
2.jp2,candida,2029,939,2048,967
2.jp2,candida,3536,923,3566,959
2.jp2,candida,1991,916,2014,944
2.jp2,candida,1260,878,1284,903
2.jp2,candida,1774,860,1799,872
2.jp2,candida,2115,847,2188,917
2.jp2,candida,1795,842,1805,856
2.jp2,candida,1776,826,1786,843
2.jp2,candida,1785,821,1799,834
2.jp2,candida,1757,795,1777,822
2.jp2,candida,4364,773,4383,789
2.jp2,candida,4389,760,4426,771
2.jp2,candida,4155,740,4195,768
2.jp2,candida,4524,723,4539,742
2.jp2,candida,1123,666,1143,690
2.jp2,candida,920,659,937,687
2.jp2,candida,1672,640,1701,660
2.jp2,candida,1565,627,1578,638
2.jp2,candida,4116,600,4164,662
2.jp2,candida,1637,593,1647,611
2.jp2,candida,4152,578,4165,602
2.jp2,candida,653,572,665,590
2.jp2,candida,4164,566,4182,578
2.jp2,candida,4119,565,4131,580
2.jp2,candida,1847,565,1858,575
2.jp2,candida,1637,560,1674,603
2.jp2,candida,681,532,693,544
